R,G,I,F
1,9,42,9380055.831006976
1,9,43,9290944.095041651
1,9,44,9305725.317512745
1,9,45,9409932.359159328
1,9,46,9456621.638767686
1,9,47,9335728.107747097
1,9,48,9338373.831458189
1,9,49,9369006.332426783
1,9,50,9182226.604205329
1,9,51,9134350.716424257
1,9,52,9346304.600341065
1,9,53,9550059.500522966
1,9,54,9469393.221117951
1,9,55,9519676.388696559
1,9,56,9302458.147216154
1,9,57,9272453.682925258
1,9,58,9387364.373715378
1,9,59,9357550.82246813
1,9,60,9367144.104699913
1,9,61,9236858.495234208
1,9,62,9419650.170692254
1,9,63,9236858.495234208
1,9,64,9321991.097325722
1,9,65,9274639.657679264
1,9,66,9337740.882267103
1,9,67,9506026.751615053
1,9,68,9221449.580755858
1,9,69,9363295.176153336
1,9,70,9305725.317512745
1,9,71,9189661.453005878
1,9,72,9246932.258251213
1,9,73,9285442.651660936
1,9,74,9350497.797195025
1,9,75,9272653.397184009
1,9,76,9312544.19672694
1,9,77,9404414.762170779
1,9,78,9267619.810387826
1,9,79,9345396.14211829
1,9,80,9387388.6123412
1,9,81,9462349.384577734
1,9,82,9434369.943014937
1,9,83,9303638.50476415
1,9,84,9345396.14211829
1,9,85,9344650.890281888
1,9,86,9269942.617688473
1,9,87,9285870.779277718
1,9,88,9357910.743365942
1,9,89,9382803.89153568
1,9,90,9304771.007140499
1,9,91,9169821.731385058
1,9,92,9523310.898675835
1,9,93,9211117.49324233
1,9,94,9346898.410733428
1,9,95,9406847.493549988
